`,name,unit,invert,weighting,type,min,max,description,detail,source,year
4.2.1b,% students that have access to a computer or laptop at home (Universities),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do most students have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. None
g. Not sure","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.2.1c,% students that have access to a computer or laptop at home (TVET),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do most students have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. None
g. Not sure","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.2.2,% students that have access to a smartphone at home (Overall),%,,0.250,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do most students have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. None
g. Not sure","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.2.2a,% students that have access to a smartphone at home (Schools),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do most students have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. None
g. Not sure","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.2.2b,% students that have access to a smartphone at home (Universities),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do most students have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. None
g. Not sure","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.2.2c,% students that have access to a smartphone at home (TVET),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do most students have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. None
g. Not sure","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.2.3,% students that have access to TV or radio at home (Overall),%,,0.250,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do most students have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. None
g. Not sure","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.2.3a,% students that have access to TV at home (Schools),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do most students have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. None
g. Not sure","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.2.3b,% students that have access to TV at home (Universities),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do most students have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. None
g. Not sure","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.2.3c,% students that have access to TV at home (TVET),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do most students have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. None
g. Not sure","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.2.4,Do students own digital devices? (Overall),Numerical score,,0.250,discrete,0,2,"The survey question corresponding to this is: Do students own devices or borrow them from family members, and does this interfere with their online education?
a. Most students do not own devices and this interferes with delivering online education
b. Most students do not own devices but there is always a device available to ensure smooth delivery of online education
c. Most students own devices","0 = Most students do not own devices and this interferes with delivering online education
 1 = Most students do not own devices but there is always a device available to ensure smooth delivery of online education
 2 = Most students own devices
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.2.4a,Do students own digital devices? (Schools),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: Do students own devices or borrow them from family members, and does this interfere with their online education?
a. Most students do not own devices and this interferes with delivering online education
b. Most students do not own devices but there is always a device available to ensure smooth delivery of online education
c. Most students own devices","0 = Most students do not own devices and this interferes with delivering online education
 1 = Most students do not own devices but there is always a device available to ensure smooth delivery of online education
 2 = Most students own devices
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.2.4b,Do students own digital devices? (Universities),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: Do students own devices or borrow them from family members, and does this interfere with their online education?
a. Most students do not own devices and this interferes with delivering online education
b. Most students do not own devices but there is always a device available to ensure smooth delivery of online education
c. Most students own devices","0 = Most students do not own devices and this interferes with delivering online education
 1 = Most students do not own devices but there is always a device available to ensure smooth delivery of online education
 2 = Most students own devices
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.2.4c,Do students own digital devices? (TVET),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: Do students own devices or borrow them from family members, and does this interfere with their online education?
a. Most students do not own devices and this interferes with delivering online education
b. Most students do not own devices but there is always a device available to ensure smooth delivery of online education
c. Most students own devices","0 = Most students do not own devices and this interferes with delivering online education
 1 = Most students do not own devices but there is always a device available to ensure smooth delivery of online education
 2 = Most students own devices
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.3.1,Is curriculum content accessible and suitable for use? (Overall),Numerical score,,1.000,discrete,0,2,"The survey question corresponding to this is: What are the issues faced by students in accessing learning content online? (includes digitised textbooks, videos, presentations, audio files, reading material, images and graphics, etc. provided by the government or other providers) [Please select all that apply]
a. Relevant curriculum content is unavailable online
b. Content is not easy to download/inaccessible due to technical issues (large file size etc.)
c. Content is not suited for digital use (for e.g., scanned textbook pages)
d. Quality of the content is an issue: students find it difficult to understand due to the way it is presented
e. Students do not face any issues in accessing learning content","0 = Relevant curriculum content is unavailable online
 1 = Content is inaccessible (e.g. technical issues, lack of suitability for digital use, lack of quality)
 2 = Students do not face any issues in accessing learning content
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.3.1a,Is curriculum content accessible and suitable for use? (Schools),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: What are the issues faced by students in accessing learning content online? (includes digitised textbooks, videos, presentations, audio files, reading material, images and graphics, etc. provided by the government or other providers) [Please select all that apply]
a. Relevant curriculum content is unavailable online
b. Content is not easy to download/inaccessible due to technical issues (large file size etc.)
c. Content is not suited for digital use (for e.g., scanned textbook pages)
d. Quality of the content is an issue: students find it difficult to understand due to the way it is presented
e. Students do not face any issues in accessing learning content","0 = Relevant curriculum content is unavailable online
 1 = Content is inaccessible (e.g. technical issues, lack of suitability for digital use, lack of quality)
 2 = Students do not face any issues in accessing learning content
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.3.1b,Is curriculum content accessible and suitable for use? (Universities),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: What are the issues faced by students in accessing learning content online? (includes digitised textbooks, videos, presentations, audio files, reading material, images and graphics, etc. provided by the government or other providers) [Please select all that apply]
a. Relevant curriculum content is unavailable online
b. Content is not easy to download/inaccessible due to technical issues (large file size etc.)
c. Content is not suited for digital use (for e.g., scanned textbook pages)
d. Quality of the content is an issue: students find it difficult to understand due to the way it is presented
e. Students do not face any issues in accessing learning content","0 = Relevant curriculum content is unavailable online
 1 = Content is inaccessible (e.g. technical issues, lack of suitability for digital use, lack of quality)
 2 = Students do not face any issues in accessing learning content
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.3.1c,Is curriculum content accessible and suitable for use? (TVET),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: What are the issues faced by students in accessing learning content online? (includes digitised textbooks, videos, presentations, audio files, reading material, images and graphics, etc. provided by the government or other providers) [Please select all that apply]
a. Relevant curriculum content is unavailable online
b. Content is not easy to download/inaccessible due to technical issues (large file size etc.)
c. Content is not suited for digital use (for e.g., scanned textbook pages)
d. Quality of the content is an issue: students find it difficult to understand due to the way it is presented
e. Students do not face any issues in accessing learning content","0 = Relevant curriculum content is unavailable online
 1 = Content is inaccessible (e.g. technical issues, lack of suitability for digital use, lack of quality)
 2 = Students do not face any issues in accessing learning content
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.4.1,Do teachers have online communication channels with parents? (Overall),Numerical score,,1.000,discrete,0,3,"The survey question corresponding to this is: Are there communication channels between teachers and students/parents (social media messaging groups etc.)? If yes, what are these used for? [Please select all that apply]
a. No, there are no such groups
b. Yes, groups are used for information and updates
c. Yes, groups are used to administer homework assignments
d. Yes, groups are used to receive feedback from parents on teaching and the overall online education experience
e. Yes, groups are used to communicate with parents regarding student performance and other concerns
","0 = No
 1 = Yes, but they are used for basic purposes such as conveying information and updates
 2 = Yes, and they are used to administer homework assignments
 3 = Yes, and they are used to receive feedback from parents as well as communication with them regarding student performance and other concerns
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.4.1a,Do teachers have online communication channels with parents? (Schools),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: Are there communication channels between teachers and students/parents (social media messaging groups etc.)? If yes, what are these used for? [Please select all that apply]
a. No, there are no such groups
b. Yes, groups are used for information and updates
c. Yes, groups are used to administer homework assignments
d. Yes, groups are used to receive feedback from parents on teaching and the overall online education experience
e. Yes, groups are used to communicate with parents regarding student performance and other concerns
","0 = No
 1 = Yes, but they are used for basic purposes such as conveying information and updates
 2 = Yes, and they are used to administer homework assignments
 3 = Yes, and they are used to receive feedback from parents as well as communication with them regarding student performance and other concerns
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.4.1b,Do teachers have online communication channels with parents? (Universities),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: Are there communication channels between teachers and students/parents (social media messaging groups etc.)? If yes, what are these used for? [Please select all that apply]
a. No, there are no such groups
b. Yes, groups are used for information and updates
c. Yes, groups are used to administer homework assignments
d. Yes, groups are used to receive feedback from parents on teaching and the overall online education experience
e. Yes, groups are used to communicate with parents regarding student performance and other concerns
","0 = No
 1 = Yes, but they are used for basic purposes such as conveying information and updates
 2 = Yes, and they are used to administer homework assignments
 3 = Yes, and they are used to receive feedback from parents as well as communication with them regarding student performance and other concerns
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.4.1c,Do teachers have online communication channels with parents? (TVET),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: Are there communication channels between teachers and students/parents (social media messaging groups etc.)? If yes, what are these used for? [Please select all that apply]
a. No, there are no such groups
b. Yes, groups are used for information and updates
c. Yes, groups are used to administer homework assignments
d. Yes, groups are used to receive feedback from parents on teaching and the overall online education experience
e. Yes, groups are used to communicate with parents regarding student performance and other concerns
","0 = No
 1 = Yes, but they are used for basic purposes such as conveying information and updates
 2 = Yes, and they are used to administer homework assignments
 3 = Yes, and they are used to receive feedback from parents as well as communication with them regarding student performance and other concerns
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
5.1.1,% teachers using private EdTech platforms to conduct classes (Overall),%,,0.500,continuous,0,100,"The survey question corresponding to this is: What platform do you use to conduct classes? (Please select all that apply)
a. I don’t use any platform
b. Government online education platform
c. Other online learning platforms (Google Classroom, Edmodo, Edubuntu, Khan Academy, etc.)
d. Social media (ex: YouTube, Facebook, Telegram, WhatsApp)
e. Television
f. Video calling platforms (ex: Zoom, Google Meet)","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
5.1.1a,% teachers using private EdTech platforms to conduct classes (Schools),%,,0.333,continuous,0,100,"The survey question corresponding to this is: What platform do you use to conduct classes? (Please select all that apply)
a. I don’t use any platform
b. Government online education platform
c. Other online learning platforms (Google Classroom, Edmodo, Edubuntu, Khan Academy, etc.)
d. Social media (ex: YouTube, Facebook, Telegram, WhatsApp)
e. Television
f. Video calling platforms (ex: Zoom, Google Meet)","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
5.1.1b,% teachers using private EdTech platforms to conduct classes (Universities),%,,0.333,continuous,0,100,"The survey question corresponding to this is: What platform do you use to conduct classes? (Please select all that apply)
a. I don’t use any platform
b. Government online education platform
c. Other online learning platforms (Google Classroom, Edmodo, Edubuntu, Khan Academy, etc.)
d. Social media (ex: YouTube, Facebook, Telegram, WhatsApp)
e. Television
f. Video calling platforms (ex: Zoom, Google Meet)","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
5.1.1c,% teachers using private EdTech platforms to conduct classes (TVET),%,,0.333,continuous,0,100,"The survey question corresponding to this is: What platform do you use to conduct classes? (Please select all that apply)
a. I don’t use any platform
b. Government online education platform
c. Other online learning platforms (Google Classroom, Edmodo, Edubuntu, Khan Academy, etc.)
d. Social media (ex: YouTube, Facebook, Telegram, WhatsApp)
e. Television
f. Video calling platforms (ex: Zoom, Google Meet)","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
5.1.2,% teachers using private EdTech platforms to communicate/share with students (Overall),%,,0.500,continuous,0,100,"The survey question corresponding to this is: What platform do you use to communicate and/or share digital content with students? (Please select all that apply. If the answer is (c), please write the name of the platform)
a. I don’t use any digital platform
b. Government online education platform
c. Other online learning platforms (ex: Google Classroom, Edmodo, Edubuntu, Khan Academy) (Please write the name of the platform)
d. Social media (ex: YouTube, Facebook)
e. Social messaging application (ex: Telegram, WhatsApp) 
f. Online file sharing (ex: Dropbox, Google Drive, Xender)
g. Email
","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
5.1.2a,% teachers using private EdTech platforms to communicate/share with students (Schools),%,,0.333,continuous,0,100,"The survey question corresponding to this is: What platform do you use to communicate and/or share digital content with students? (Please select all that apply. If the answer is (c), please write the name of the platform)
a. I don’t use any digital platform
b. Government online education platform
c. Other online learning platforms (ex: Google Classroom, Edmodo, Edubuntu, Khan Academy) (Please write the name of the platform)
d. Social media (ex: YouTube, Facebook)
e. Social messaging application (ex: Telegram, WhatsApp) 
f. Online file sharing (ex: Dropbox, Google Drive, Xender)
g. Email
","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
5.1.2b,% teachers using private EdTech platforms to communicate/share with students (Universities),%,,0.333,continuous,0,100,"The survey question corresponding to this is: What platform do you use to communicate and/or share digital content with students? (Please select all that apply. If the answer is (c), please write the name of the platform)
a. I don’t use any digital platform
b. Government online education platform
c. Other online learning platforms (ex: Google Classroom, Edmodo, Edubuntu, Khan Academy) (Please write the name of the platform)
d. Social media (ex: YouTube, Facebook)
e. Social messaging application (ex: Telegram, WhatsApp) 
f. Online file sharing (ex: Dropbox, Google Drive, Xender)
g. Email
","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
5.1.2c,% teachers using private EdTech platforms to communicate/share with students (TVET),%,,0.333,continuous,0,100,"The survey question corresponding to this is: What platform do you use to communicate and/or share digital content with students? (Please select all that apply. If the answer is (c), please write the name of the platform)
a. I don’t use any digital platform
b. Government online education platform
c. Other online learning platforms (ex: Google Classroom, Edmodo, Edubuntu, Khan Academy) (Please write the name of the platform)
d. Social media (ex: YouTube, Facebook)
e. Social messaging application (ex: Telegram, WhatsApp) 
f. Online file sharing (ex: Dropbox, Google Drive, Xender)
g. Email
","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
5.2.1,% teachers using content designed by private EdTech providers (Overall),%,,1.000,continuous,0,100,"The survey question corresponding to this is: Do you teach using digital content? Who provides/creates this content? (Includes digitised textbooks and other multimedia content) [Please select all that apply]
a. I don’t use digital content
b. Content is created by me
c. Content is provided by the government
d. Content is from private EdTech providers
e. Content is from other sources (for e.g., online resources)","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
5.2.1a,% teachers using content designed by private EdTech providers (Schools),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Do you teach using digital content? Who provides/creates this content? (Includes digitised textbooks and other multimedia content) [Please select all that apply]
a. I don’t use digital content
b. Content is created by me
c. Content is provided by the government
d. Content is from private EdTech providers
e. Content is from other sources (for e.g., online resources)","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021
5.2.1b,% teachers using content designed by private EdTech providers (Universities),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Do you teach using digital content? Who provides/creates this content? (Includes digitised textbooks and other multimedia content) [Please select all that apply]
a. I don’t use digital content
b. Content is created by me
c. Content is provided by the government
d. Content is from private EdTech providers
e. Content is from other sources (for e.g., online resources)","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021
5.2.1c,% teachers using content designed by private EdTech providers (TVET),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Do you teach using digital content? Who provides/creates this content? (Includes digitised textbooks and other multimedia content) [Please select all that apply]
a. I don’t use digital content
b. Content is created by me
c. Content is provided by the government
d. Content is from private EdTech providers
e. Content is from other sources (for e.g., online resources)","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021
5.3.1,ICT graduates as a share of total tertiary education graduates,%,,1.000,continuous,0,100,This indicator measures the digital learning preparedness of the country from a labour force perspective. A workforce educated in ICT fields provides a strong foundation for the technical skills and know-how needed for successfully developing digital learning initiatives including learning platforms.,"Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",UNESCO,Latest as available for country
5.4.1,Has the government partnered with agencies to promote EdTech? (Overall),Numerical score,,1.000,discrete,0,2,"This question aims at understanding the synergies between the government and other stakeholders, particularly with private providers, in the digital learning ecosystem. A country can receive a positive score if there is evidence of MOUs or other agreements towards shared goal(s) (e.g. EdTech platform, curriculum design, teacher training, device access, etc.). The question also explores the consistency of efforts to promote digital education by assigning a higher score to the country if it has seen more than one-off instances of collaboration.","0 = No
 1 = At least one MOU/collaboration/partnership
 2 = More than one MOU/collaboration/partnership
 
The government may sign an MoU or partner via other collaborative means with multilaterals/private sector/other agencies to promote EdTech (in the form of curriculum design, EdTech platform roll-out, capacity building of educators, any other)
(Note: a MoU for education sector with a focus on/mention of EdTech should also qualify. One could most likely find these in news articles/ MoE website)
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
BG 01,GDP per head,,,N/A,continuous,N/A since using actual data,N/A since using actual data,N/A,N/A,EIU,2020
BG 02,Urban population,,,N/A,continuous,0,100,N/A,N/A,World Bank,Latest as available for country
BG 03,Poverty headcount ratio,,,N/A,continuous,0,100,N/A,N/A,World Bank,Latest as available for country
BG 04,"Gross enrolment ratio, primary education",,,N/A,continuous,0,N/A since using actual data,N/A,N/A,UNESCO,Latest as available for country
BG 05,"Gross enrolment ratio, secondary education",,,N/A,continuous,0,N/A since using actual data,N/A,N/A,UNESCO,Latest as available for country
BG 06,Adult literacy rate,,,N/A,continuous,0,100,N/A,N/A,World Bank,Latest as available for country
BG 07,Total public spending on education,,,N/A,continuous,0,100,N/A,N/A,World Bank,Latest as available for country
